User Id,Start date,End date,Duration,Q01->1. Em resulta fàcil parlar dels meus sentiments amb els altres,Q01->2. Sovint em costa veure les coses des del punt de vista de l’altra persona,"Q01->3. En general, sóc una persona altament motivada",Q01->4. Em costa controlar els meus sentiments,Q01->5. La meva vida no és agradable,Q02->6. No em porto bé amb els meus companys de classe,"Q02->7. Sovint, canvio d’opinió",Q02->8. Em costa saber amb exactitud quina emoció estic sentint,Q02->9. M’agrada la meva aparença,Q02->10. M’és complicat defensar els meus drets,"Q03->11. Quan vull, puc fer que els altres es sentin bé",Q03->12. A vegades penso que tota la meva vida serà un “desastre”,Q03->13. A vegades penso que els altres es queixen que els tracto malament,Q03->14. És difícil per mi afrontar els canvis a la meva vida,"Q03->15. Sóc capaç de controlar l’estrès (l’ansietat, el nerviosisme, etc.)",Q04->16. Em costa mostrar a les persones pròximes que em preocupo per elles,Q04->17. Sóc capaç de posar-me en el lloc de l’altra persona i sentir les seves emocions,Q04->18. Em costa mantenir-me motivat o motivada,"Q04->19. Quan vull, puc controlar el meu enuig",Q04->20. Sóc feliç amb la meva vida,Q05->21. Em veig com un bon negociador o una bona negociadora,Q05->22. Algunes vegades m’implico en coses que més tard me’n penedeixo,Q05->23. Poso molta atenció als meus sentiments,Q05->24. Em sento bé amb mi mateix o mateixa,"Q05->25. Tendeixo a cedir, fins i tot quan sé que tinc raó",Q06->26. Sóc incapaç de canviar els sentiments dels altres,Q06->27. Penso que les coses m’aniran bé a la vida,Q06->28. Algunes vegades m'agradaria tenir una relació millor amb els meus pares,Q06->29. Sóc capaç d’adaptar-me bé a ambients nous,Q06->30. Intento controlar els meus pensaments i no preocupar-me massa sobre les coses
417,08:43:50 20/12/2016,09:00:26 20/12/2016,996,3,5,5,4,2,2,4,3,6,3,5,3,2,4,3,5,3,5,4,6,3,5,4,6,2,3,5,3,6,4
406,08:44:49 20/12/2016,09:00:30 20/12/2016,941,3,4,3,3,1,6,5,4,6,5,5,3,4,4,5,3,6,5,4,6,3,5,5,6,5,4,6,6,5,6
355,08:45:29 20/12/2016,09:00:47 20/12/2016,918,3,2,3,4,1,2,3,2,4,2,7,3,1,3,4,1,7,5,5,4,6,5,4,4,3,1,5,5,4,5
384,08:42:33 20/12/2016,09:01:12 20/12/2016,1119,4,1,6,1,2,1,2,2,6,1,7,1,1,2,6,1,7,5,6,7,6,3,6,6,2,6,6,5,6,6
445,08:45:01 20/12/2016,09:02:42 20/12/2016,1061,6,4,7,1,1,5,2,3,7,2,6,1,1,1,7,5,4,1,5,6,5,2,2,7,1,2,7,2,5,7
444,08:45:22 20/12/2016,09:01:33 20/12/2016,971,6,3,4,3,1,1,2,1,5,1,6,1,1,1,5,1,5,1,4,7,5,5,7,7,2,3,7,1,6,3
349,08:44:49 20/12/2016,09:03:53 20/12/2016,1144,7,2,5,1,3,2,7,2,6,1,6,4,3,4,6,2,6,4,4,5,6,4,2,6,3,3,6,7,7,7
409,08:45:26 20/12/2016,09:03:06 20/12/2016,1060,1,2,4,4,1,1,4,4,6,4,7,2,1,4,2,1,4,4,4,5,2,4,5,6,4,2,4,4,3,5
456,08:47:04 20/12/2016,09:03:15 20/12/2016,971,3,1,4,6,2,2,6,4,5,4,6,5,1,4,6,7,6,2,4,5,4,5,6,6,3,2,4,6,6,4
371,08:43:58 20/12/2016,09:02:19 20/12/2016,1101,5,3,6,6,2,1,6,7,6,2,7,2,1,4,3,3,4,5,5,7,6,6,7,6,7,2,7,1,6,7
479,08:44:53 20/12/2016,09:02:35 20/12/2016,1062,4,2,5,2,2,2,4,2,5,2,4,3,2,5,2,4,6,4,5,5,4,5,4,6,5,4,5,1,3,6
394,08:45:26 20/12/2016,09:02:50 20/12/2016,1044,2,2,5,6,4,2,2,2,4,6,4,6,4,2,4,1,6,4,5,4,5,4,7,3,2,3,4,7,6,6
443,08:50:37 20/12/2016,09:03:16 20/12/2016,759,6,6,6,5,1,1,1,1,3,1,7,3,2,3,6,2,1,1,5,7,4,6,2,6,7,1,5,1,2,1
474,08:43:57 20/12/2016,09:04:30 20/12/2016,1233,5,3,6,5,2,2,3,3,6,3,5,3,2,4,3,5,3,3,3,7,6,5,4,7,6,3,6,4,5,4
449,08:55:59 20/12/2016,09:08:46 20/12/2016,767,3,2,3,3,2,1,2,3,2,1,2,2,2,1,3,2,3,3,2,3,2,4,3,4,1,3,5,2,3,4
480,08:44:54 20/12/2016,09:06:38 20/12/2016,1304,1,5,5,2,2,6,7,5,4,5,5,2,1,2,3,2,5,4,6,5,5,5,1,3,6,2,5,5,4,2
381,08:48:19 20/12/2016,09:06:09 20/12/2016,1070,2,5,3,5,3,2,6,5,6,2,6,2,1,4,6,4,4,3,5,6,7,6,4,6,2,4,6,4,6,5
365,08:44:24 20/12/2016,09:07:23 20/12/2016,1379,4,2,2,4,4,2,2,4,2,4,3,3,3,2,4,2,2,2,3,2,4,2,3,2,3,2,3,3,2,3
403,08:42:43 20/12/2016,09:11:54 20/12/2016,1751,6,3,4,5,1,1,5,2,6,1,7,1,3,6,2,3,6,2,7,6,6,6,5,6,2,1,7,7,5,6
389,08:52:41 20/12/2016,09:09:47 20/12/2016,1026,6,4,6,2,1,1,1,3,6,1,6,2,2,2,3,1,7,2,4,7,7,3,7,7,4,2,6,5,7,2
481,08:46:36 20/12/2016,09:14:03 20/12/2016,1647,2,4,6,6,4,6,5,2,3,6,4,7,5,5,2,6,4,3,4,4,4,7,5,4,5,7,1,7,5,5
483,09:01:45 20/12/2016,09:19:35 20/12/2016,1070,4,5,7,4,4,7,5,6,5,5,5,6,2,4,3,3,4,1,3,3,4,5,3,2,4,3,2,6,3,2
385,09:28:24 20/12/2016,09:32:07 20/12/2016,223,5,4,4,4,2,2,2,2,5,2,5,2,2,2,4,2,5,2,4,5,5,5,5,5,3,4,5,2,4,5
